id,region,category,sales,profit
1,West,Electronics,1200,200
2,East,Accessories,800,120
3,South,Furniture,1500,300
4,North,Electronics,2000,400
5,West,Furniture,1100,150
6,East,Electronics,900,180
7,South,Accessories,700,100
8,North,Furniture,1300,250
9,West,Accessories,600,90
10,East,Furniture,1400,280
11,South,Electronics,1600,350
12,North,Accessories,750,110
13,West,Electronics,1800,500
14,East,Accessories,650,95
15,South,Furniture,1700,320
16,North,Electronics,2100,450
17,West,Furniture,1250,200
18,East,Electronics,950,170
19,South,Accessories,720,105
20,North,Furniture,1350,260
